seed,mode,status,coverage,accuracy,precision,recall,f1,accuracy_std,precision_std,recall_std,f1_std,valid_rows,total_rows
42,no_quant,ok,1.0,0.8760162601626016,0.9616519174041298,0.8716577540106952,0.9144460028050492,0.01451262527860786,0.010336834049173684,0.016348755939609935,0.010708739635864281,492,492
52,no_quant,ok,1.0,0.8414634146341463,0.9774193548387097,0.8101604278074866,0.8859649122807017,0.017263631749336386,0.007828261651394233,0.021285753667379087,0.013427140924566297,492,492
62,no_quant,ok,1.0,0.8678861788617886,0.9667673716012085,0.8556149732620321,0.9078014184397163,0.015846563395065103,0.010198188376648404,0.017874389855097685,0.011758658817834267,492,492
